ID,Type,SKU,Name,"Short description",Description,"Tax status","In stock?","Backorders allowed?","Weight (kg)","Allow customer reviews?","Sale price","Regular price",Categories,Images,Parent,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
4050,variable,1255512506,"VIP Sehore","<span data-sheets-root=""1"">Made from renowned Sharbati quality wheat, It has larger grains, a golden colour, and a soft texture. And traditionally stone is ground to retain maximum nutrition and softness.</span>",,taxable,1,0,,0,,,"Atta, Atta > Wheat Atta",https://gutmantra.in/wp-content/uploads/2024/11/SS-Product-Image-2.png,,Grind,"Bareek/ Fine, Mota / Coarse, Normal",1,1,Varient,"1 KG, 5 KG",1,1
4051,variation,,"VIP Sehore - Normal, 1 KG",,,taxable,1,0,,0,88,97,,,1255512506,Grind,Normal,,1,Varient,"1 KG",,1
4052,variation,,"VIP Sehore - Normal, 5 KG",,,taxable,1,0,,0,440,484,,,1255512506,Grind,Normal,,1,Varient,"5 KG",,1
4053,variation,,"VIP Sehore - Bareek/ Fine, 1 KG",,,taxable,1,0,,0,88,97,,,1255512506,Grind,"Bareek/ Fine",,1,Varient,"1 KG",,1
4054,variation,,"VIP Sehore - Bareek/ Fine, 5 KG",,,taxable,1,0,,0,440,484,,,1255512506,Grind,"Bareek/ Fine",,1,Varient,"5 KG",,1
4055,variation,,"VIP Sehore - Mota / Coarse, 1 KG",,,taxable,1,0,,0,88,97,,,1255512506,Grind,"Mota / Coarse",,1,Varient,"1 KG",,1
4056,variation,,"VIP Sehore - Mota / Coarse, 5 KG",,,taxable,1,0,,0,440,484,,,1255512506,Grind,"Mota / Coarse",,1,Varient,"5 KG",,1
4057,variable,1255512507,"Sehore Super","<span data-sheets-root=""1"">Made from whole wheat grains sourced from MP Sehore Region and traditionally stone ground to retain maximum nutrition and softness.</span>",,taxable,1,0,,0,,,"Atta, Atta > Wheat Atta",https://gutmantra.in/wp-content/uploads/2024/11/WhatsApp-Image-2024-07-23-at-14.25.34.jpeg,,Grind,"Bareek/ Fine, Mota / Coarse, Normal",1,1,Varient,"1 KG, 5 KG",1,1
4058,variation,,"Sehore Super - Normal, 1 KG",,,taxable,1,0,,0,,71,,,1255512507,Grind,Normal,,1,Varient,"1 KG",,1
4059,variation,,"Sehore Super - Normal, 5 KG",,,taxable,1,0,,0,,355,,,1255512507,Grind,Normal,,1,Varient,"5 KG",,1
4060,variation,,"Sehore Super - Bareek/ Fine, 1 KG",,,taxable,1,0,,0,,71,,,1255512507,Grind,"Bareek/ Fine",,1,Varient,"1 KG",,1
4061,variation,,"Sehore Super - Bareek/ Fine, 5 KG",,,taxable,1,0,,0,,355,,,1255512507,Grind,"Bareek/ Fine",,1,Varient,"5 KG",,1
4062,variation,,"Sehore Super - Mota / Coarse, 1 KG",,,taxable,1,0,,0,,71,,,1255512507,Grind,"Mota / Coarse",,1,Varient,"1 KG",,1
4063,variation,,"Sehore Super - Mota / Coarse, 5 KG",,,taxable,1,0,,0,,355,,,1255512507,Grind,"Mota / Coarse",,1,Varient,"5 KG",,1
4064,variable,1255589672,"Sunflower Oil",,,taxable,1,0,,0,,,"Cold Pressed Oils",https://gutmantra.in/wp-content/uploads/2024/11/Oil-Prod-Images-3.png,,Varient,"1 Liter",1,1,,,,
4065,variation,,"Sunflower Oil - 1 Liter",,,taxable,1,0,,0,360,399,,,1255589672,Varient,"1 Liter",,1,,,,
4067,variable,1255512508,"Sehore Premium",,"<span data-sheets-root=""1"">Made from whole wheat grains sourced from MP Sehore Region and traditionally stone ground to retain maximum nutrition and softness.</span>",taxable,1,0,,0,,,"Atta, Atta > Wheat Atta",https://gutmantra.in/wp-content/uploads/2024/11/SS-Product-Image-3.png,,Grind,"Bareek/ Fine, Mota / Coarse, Normal",1,1,Varient,"1 KG, 5 KG",1,1
4068,variation,,"Sehore Premium - Normal, 1 KG",,,taxable,1,0,,0,69,76,,,1255512508,Grind,Normal,,1,Varient,"1 KG",,1
4069,variation,,"Sehore Premium - Normal, 5 KG",,,taxable,1,0,,0,345,380,,,1255512508,Grind,Normal,,1,Varient,"5 KG",,1
4070,variation,,"Sehore Premium - Bareek/ Fine, 1 KG",,,taxable,1,0,,0,69,76,,,1255512508,Grind,"Bareek/ Fine",,1,Varient,"1 KG",,1
4071,variation,,"Sehore Premium - Bareek/ Fine, 5 KG",,,taxable,1,0,,0,345,380,,,1255512508,Grind,"Bareek/ Fine",,1,Varient,"5 KG",,1
4072,variation,,"Sehore Premium - Mota / Coarse, 1 KG",,,taxable,1,0,,0,69,76,,,1255512508,Grind,"Mota / Coarse",,1,Varient,"1 KG",,1
4073,variation,,"Sehore Premium - Mota / Coarse, 5 KG",,,taxable,1,0,,0,345,380,,,1255512508,Grind,"Mota / Coarse",,1,Varient,"5 KG",,1
